Date,Index Name,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield
1/1/2026,BSE SENSEX,85255.55,85451.70,85101.52,85188.60,-32.00,-0.0375496065500,2.06,1545.97,23.50,4.57,1.13
1/1/2026,BSE 100,27370.81,27414.71,27320.73,27375.98,31.26,0.1143182303500,4.86,2291.09,23.21,4.30,1.19
1/1/2026,BSE 200,11821.42,11840.41,11796.58,11830.58,22.17,0.1877475460200,27.70,3079.37,24.57,4.50,1.13
1/1/2026,BSE 500,37486.31,37528.80,37385.84,37497.10,53.69,0.1433897179700,32.68,4312.55,25.24,4.46,1.07
1/1/2026,BSE CAPITAL GOODS,67211.62,67325.33,66739.77,67259.78,147.78,0.2201990702100,0.52,207.72,53.47,13.28,0.43
1/1/2026,BSE CONSUMER DURABLES,60096.27,60151.18,59845.72,59963.66,-39.92,-0.0665293637400,0.04,94.00,66.00,16.40,0.50
1/1/2026,BSE PSU,20604.14,20669.53,20535.24,20655.83,88.12,0.4284385573300,2.90,788.03,11.86,2.24,2.55
1/1/2026,BSE TECK,18503.34,18701.66,18503.34,18645.22,135.33,0.7311226592900,21.79,589.27,29.77,9.36,1.84
1/1/2026,BSE BANKEX,66781.56,66953.72,66714.80,66909.85,149.92,0.2245658436100,1.33,479.41,16.02,2.37,0.99
1/1/2026,BSE AUTO,62722.21,63186.99,62642.51,63149.30,592.67,0.9474135675100,0.32,224.52,32.92,6.97,1.07
1/1/2026,BSE METAL,36920.33,37162.97,36766.51,37115.17,303.44,0.8243024709700,0.54,139.90,20.46,3.18,1.40
1/1/2026,BSE OIL & GAS,28775.48,28955.28,28597.38,28685.36,-23.47,-0.0817518512500,0.37,253.06,10.51,1.72,3.09
1/1/2026,BSE DOLLEX 30,7787.68,7805.60,7765.09,7773.03,-11.46,-0.1472158098900,,,23.50,4.57,1.13
1/1/2026,BSE DOLLEX 100,3150.36,3155.41,3144.60,3147.48,0.14,0.0044482007000,,,23.21,4.30,1.19
1/1/2026,BSE DOLLEX 200,2189.77,2193.05,2185.17,2189.05,1.71,0.0781771466700,,,24.57,4.50,1.13
1/1/2026,BSE REALTY,6822.00,6872.25,6778.34,6863.86,56.93,0.8363535397000,0.04,45.45,43.72,5.51,0.34
1/1/2026,BSE POWER,6508.45,6582.83,6508.43,6577.13,73.83,1.1352697861000,1.49,217.17,29.80,4.16,1.25
1/1/2026,BSE IPO,15718.59,15756.93,15606.98,15633.56,-90.31,-0.5743496988900,0.60,244.50,95.70,44.92,0.12
1/1/2026,BSE SME IPO,95915.61,96300.75,95766.09,96108.39,35.56,0.0370135864600,0.58,73.82,10.65,11.49,0.03
1/1/2026,BSE India Infrastructure Index,582.09,586.86,581.97,586.46,6.04,1.0406257537600,1.69,398.31,15.56,2.91,1.80
1/1/2026,BSE CPSE,3837.16,3847.34,3816.99,3844.03,15.07,0.3935794576000,1.71,533.91,14.47,2.55,2.82
1/1/2026,BSE MidCap,47015.30,47116.32,46782.80,47081.61,127.27,0.2710505567700,3.69,721.08,32.64,5.02,0.76
1/1/2026,BSE SmallCap,51573.66,51655.77,51356.65,51515.35,-10.11,-0.0196213677600,12.25,2100.49,32.53,3.61,0.64
1/1/2026,BSE Fast Moving Consumer Goods,20348.38,20354.78,19667.63,19741.98,-603.16,-2.9646392209600,1.63,747.23,37.75,8.26,1.83
1/1/2026,BSE Healthcare,43870.21,43870.21,43538.75,43735.00,-66.94,-0.1528242812900,0.31,127.82,38.60,6.61,0.53
1/1/2026,BSE Information Technology,36679.82,37047.52,36679.81,36946.31,211.13,0.5747351721100,0.65,358.39,27.80,7.75,2.28
1/1/2026,BSE India Manufacturing Index,1109.14,1109.75,1100.69,1103.23,-4.53,-0.4089333429600,1.73,1014.43,21.71,3.98,1.66
1/1/2026,BSE AllCap,10896.79,10896.79,10896.79,10896.79,15.98,0.1468640661800,41.63,5471.74,25.77,4.35,1.04
1/1/2026,BSE Commodities,8085.96,8104.76,8047.32,8099.51,33.40,0.4140781615900,1.80,738.54,26.40,3.30,0.95
1/1/2026,BSE Consumer Discretionary,9875.04,9913.79,9852.91,9907.89,49.34,0.5004792794000,6.00,728.58,48.18,7.16,0.65
1/1/2026,BSE Energy,12254.83,12329.98,12213.48,12240.40,11.80,0.0964951016400,0.54,297.08,11.76,2.03,2.74
1/1/2026,BSE Financial Services,13184.73,13208.17,13157.54,13187.44,13.03,0.0989038598300,3.67,995.47,18.62,3.12,0.87
1/1/2026,BSE Industrials,14743.32,14813.58,14707.88,14804.41,80.88,0.5493247882800,2.20,781.21,36.60,7.19,0.60
1/1/2026,BSE LargeCap,10036.83,10053.86,10019.36,10041.63,15.68,0.1563941571600,25.69,2650.18,23.71,4.43,1.18
